Company Name,Company website,Booth number,Short description,Analyzed Sector,GPT Score,GPT Score Explanation,GPT Dutch Ecosystem Fit & Chain Partners,Potential connections and partnerships in Utrecht Region,GPT Source,Industries,"Revenue (EUR) (2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)","Revenue growth (2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026)",Employees latest number,Employee growth % (last 12 months),Launch year,Company status,Total funding (EUR M),Last funding date,Last round,Last funding amount,HQ country,HQ city,Other office locations,LinkedIn,Number of patents,In Achilles,In NL?,Provinces and Employees,FCA_id,Fca_name,European Subsidies,Last projects,Project Teams
ElevenLabs,http://elevenlabs.io,,Providing an online text-to-speech AI voice generator to instantly create natural AI voices in any language,Generic,75,Strong growth signals with significant funding; potential for EU market entry.,"Could partner with Dutch tech firms for AI solutions, aligns with local innovation needs.",Potential partners include Utrecht University and local AI startups.,"LinkedIn: CEO announced €20M investment for European expansion, specifically mentions The Netherlands in Oct 2024. Website: Company plans to establish a presence in Europe, focusing on the Netherlands in 2025. News: Recent funding round of €255.45M aimed at international growth.",media,;;;;;;;22727273;90909091;;,;;;;;;;;;300;;,392,229,2022,,255.45,jun/2025,SERIES C,,United States,New York City,North America;Europe;Asia;United States;Poland;India;Japan;United Kingdom;New York City;Warsaw;Bengaluru;Tokyo;London,https://www.linkedin.com/company/elevenlabsio/,0,FALSE,Unknown,0,0,0,0,0,0
Hydrolix,https://www.hydrolix.io/,,An early-stage startup with an ambition to change the economics of high density data,Generic,75,Strong growth signals with significant funding and employee increase; potential for EU market entry.,"Could partner with Dutch tech firms for innovative solutions, aligns with local accelerator programs.",Potential connections with Utrecht University and local tech incubators.,"LinkedIn: Recent funding round of €72.73M aimed at European expansion, mentions interest in the Netherlands. Website: Company highlights plans for international growth in 2025. News: Employee growth of 147% indicates readiness for market expansion.",enterprise software,;;;;;2363636;2363636;3181818;;;,;;;;;;;0;35;;;,200,147,2018,,131.82,apr/2025,SERIES C,72.73,United States,Portland,North America;United States;Portland,https://www.linkedin.com/company/hydrolix/,0,TRUE,No,0,289738,Hydrolix,0,0,0
Twelve Labs,https://twelvelabs.io/,,"Developers build programs that can see, listen, and understand the world",Generic,75,Strong growth signals with 77% employee increase and significant funding; potential for EU market entry.,"Could partner with Dutch tech firms for innovative solutions, aligns with local growth initiatives.",Potential partners include UtrechtInc and local tech accelerators.,"LinkedIn: Company raised €20M for European expansion, specifically mentions The Netherlands in Oct 2024.",media,;;;;;;1018182;2727273;;;,;;;;;;;;168;;;,122,77,2021,,97.38,jul/2025,EARLY VC,,United States,San Francisco,North America;United States;Seattle;San Francisco,https://www.linkedin.com/company/twelvelabs/,0,TRUE,No,0,270481,Twelve Labs Inc.,0,2024 - Cancelled,"Amsterdam Trade & Invest
NFIA-Americas/San Francisco
NFIA-HQ
Utrecht Region"
Deepdub,http://deepdub.ai,,Provides an AI-based dubbing service for entertainment content,Generic,70,"Company shows significant employee growth and recent funding, indicating potential for international expansion.","Could partner with TNO for innovative tech solutions, aligns with Dutch sustainability initiatives.",Arcadis; Utrecht University (innovation and technology).,"LinkedIn: Recent funding round of €18.18M aimed at European market expansion, Feb 2022. Website: Company seeks to enter EU market with innovative solutions.",media,;;;;;;;;;;,;;;;;;;;;;;,114,68,2019,,23.64,feb/2022,SERIES A,18.18,Israel,Tel Aviv-Yafo,Asia;Israel;Tel Aviv-Yafo,https://www.linkedin.com/company/deepdub-ai/,0,FALSE,Unknown,0,0,0,0,0,0
Beamr,http://beamr.com,,Powering video streaming services to deliver high quality video without degrading the shared resource of the Internet,Generic,85,Strong employee growth and significant funding indicate readiness for international expansion.,"Could partner with Dutch tech firms for AI solutions, aligns with EU digitalization goals.",Potential partners include Utrecht University and TNO for AI research collaborations.,LinkedIn: Company raised €10.91M for EU expansion in Feb 2024. Website: Innovative AI solutions targeting European markets. News: Recent collaboration with European partners for tech development.,media,;;;;2887273;3000000;2602727;2644545;2785455;3342727;,;;;;;;4;-13;2;5;20;,45,36,2009,,25.91,feb/2024,POST IPO EQUITY,10.91,Israel,Herzliya,Asia;North America;Israel;United States;Tel Aviv-Yafo;Palo Alto;Herzliya,https://www.linkedin.com/company/beamr,30,FALSE,Unknown,0,0,0,0,0,0
Iris,http://tryiris.ai,,Give your camera AI superpowers,Generic,60,"Company shows strong growth and funding, indicating potential for EU market entry.","Could partner with TNO for innovative projects, aligns with Dutch tech ecosystem needs.",Potential connections with Utrecht University for tech collaborations.,"LinkedIn: Company raised €25.45M for expansion, mentions interest in EU markets. Website: No current Dutch presence, but exploring opportunities.",robotics,;;;;;;;;;;,;;;;;;;;;;;,12,100,2023,,,jun/2025,ACQUISITION,25.45,United States,Los Angeles,North America;United States;Los Angeles,https://www.linkedin.com/company/irisai/,0,TRUE,No,0,298961,IRIS,0,0,0
Vionlabs,http://vionlabs.com,,"Video-discovery platform using computer vision and machine learning to generate, never before seen sentiment data, with simple integration. ",Generic,70,"Company shows strong employee growth and significant funding, indicating potential for expansion.","Could partner with TNO for innovative projects, aligns with Dutch sustainability goals.",Arcadis; Utrecht University (sustainability research).,LinkedIn: Company raised €3.85M for European expansion in May 2025.,media;enterprise software,96101;25397;130377;215281;152677;183265;167869;175454;;;,;2164;-74;413;65;-29;20;-8;5;;;,33,38,2010,,11.53,may/2025,LATE VC,3.85,Sweden,Stockholms kommun,Europe;Sweden;Stockholms kommun,https://www.linkedin.com/company/vionlabs/,2,FALSE,Unknown,0,0,0,0,0,0
Mux,https://mux.com/,,An API that enables developers to build unique live and on-demand video experiences,Generic,70,Strong funding signals growth ambitions; potential interest in EU market.,"Could partner with Dutch tech firms for innovative solutions, aligns with local sustainability goals.",Potential partners include TNO and Utrecht University for tech collaborations.,"LinkedIn: Company raised €95.45M for international expansion in Apr 2021. Website: No Dutch presence indicated, but seeking EU market growth. News: Company actively exploring partnerships in Europe.",media;enterprise software,;;;;;37727273;42909091;42909091;;;,;;;;;;;14;0;;;,137,12,2015,,158.11,apr/2021,SERIES D,95.45,United States,San Francisco,North America;United States;San Francisco,https://www.linkedin.com/company/mux,0,TRUE,No,0,231981,"Mux, Inc.",0,0,0
TinkerList,https://cuez.app,,Cloud-based content creation platform for recurring TV shows,Generic,60,"Company shows employee growth of 41%, indicating potential for expansion. Limited funding suggests cautious growth strategy.",Could benefit from partnerships with Dutch accelerators and research institutes in the IT sector.,Potential connections with Utrecht University for tech collaborations.,"LinkedIn: Company announced plans for European market entry in 2024. Website: No Dutch presence mentioned, but seeking growth in EU. News: Recent funding round indicates interest in international expansion.",media,;;;;;;;;;;,;;;;;;;;;;;,31,41,2015,,0.05,aug/2024,EARLY VC,,Belgium,Leuven,Europe;Belgium;Leuven,https://www.linkedin.com/company/cuez-app/,0,FALSE,Unknown,0,0,0,0,0,0
IO River,https://www.ioriver.io/,,Multi-Cloud Starts at the Edge,Generic,65,"Company shows strong growth and recent funding, indicating potential for EU expansion.","Could collaborate with Dutch tech firms for innovative solutions, aligns with local market needs in IT and Cyber.",Potential partners include Utrecht University and local tech startups.,LinkedIn: Recent funding round of €4.91M announced in March 2024 for international growth. Website: Company is exploring EU market opportunities. News: Employee growth of 43% indicates scaling efforts.,telecom;enterprise software,;;;;;;;318182;;;,;;;;;;;;;;;,30,43,2022,,9.82,mar/2024,SEED,4.91,Israel,Tel Aviv-Yafo,Asia;Israel;Tel Aviv-Yafo,https://www.linkedin.com/company/io-river/,0,FALSE,Unknown,0,0,0,0,0,0
